Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
35.0,330.0,2021.0,3.0,74000.0,1.0,2.0,2.0,515000.0
12.0,63.0,2015.0,9.0,50000.0,1.0,2.0,2.0,385000.0
36.0,188.0,2021.0,3.0,42000.0,1.0,2.0,0.0,2550000.0
33.0,271.0,2014.0,10.0,71000.0,0.0,2.0,2.0,395000.0
22.0,329.0,2020.0,4.0,40000.0,1.0,0.0,0.0,1195000.0
4.0,8.0,2015.0,9.0,61000.0,0.0,2.0,0.0,1500000.0
13.0,394.0,2010.0,14.0,83000.0,1.0,2.0,2.0,235000.0
36.0,140.0,2012.0,12.0,166000.0,1.0,2.0,0.0,1650000.0
23.0,123.0,2019.0,5.0,91000.0,1.0,0.0,0.0,1149000.0
35.0,290.0,2022.0,2.0,27000.0,1.0,0.0,0.0,1865000.0
13.0,100.0,2018.0,6.0,77620.0,0.0,0.0,0.0,1350000.0
11.0,115.0,2017.0,7.0,85000.0,1.0,2.0,0.0,649999.0
35.0,231.0,2016.0,8.0,58.0,0.0,2.0,2.0,186000.0
23.0,319.0,2016.0,8.0,25.0,1.0,2.0,0.0,420000.0
23.0,40.0,2006.0,18.0,20024.0,1.0,0.0,2.0,20000.0
13.0,168.0,2014.0,10.0,80000.0,1.0,2.0,2.0,375556.0
37.0,253.0,2019.0,5.0,35000.0,0.0,2.0,2.0,1185000.0
12.0,85.0,2016.0,8.0,77000.0,0.0,0.0,2.0,575000.0
23.0,317.0,2018.0,6.0,63259.0,0.0,2.0,0.0,520000.0
11.0,115.0,2017.0,7.0,110000.0,1.0,0.0,0.0,449999.0
13.0,394.0,2023.0,1.0,14000.0,0.0,0.0,2.0,925000.0
37.0,333.0,2018.0,6.0,52000.0,0.0,0.0,0.0,1915000.0
4.0,7.0,2016.0,8.0,65000.0,0.0,2.0,0.0,1325000.0
31.0,109.0,2016.0,8.0,75000.0,0.0,2.0,0.0,595000.0
23.0,317.0,2007.0,17.0,135000.0,1.0,2.0,0.0,165000.0
36.0,187.0,2014.0,10.0,105000.0,1.0,2.0,0.0,780000.0
19.0,267.0,2016.0,8.0,151000.0,0.0,2.0,0.0,2800000.0
4.0,15.0,2013.0,11.0,61000.0,0.0,2.0,0.0,851000.0
23.0,167.0,2023.0,1.0,21209.0,1.0,0.0,2.0,1290000.0
36.0,163.0,2020.0,4.0,87000.0,1.0,0.0,2.0,733000.0
31.0,109.0,2016.0,8.0,130000.0,1.0,2.0,0.0,599000.0
38.0,372.0,2015.0,9.0,125000.0,0.0,2.0,0.0,1075000.0
35.0,330.0,2018.0,6.0,30000.0,0.0,0.0,2.0,355000.0
3.0,26.0,2015.0,9.0,78561.0,0.0,0.0,0.0,898970.0
12.0,84.0,2016.0,8.0,63000.0,1.0,2.0,2.0,600000.0
12.0,44.0,2016.0,8.0,65000.0,1.0,0.0,2.0,410000.0
37.0,254.0,2015.0,9.0,102000.0,0.0,2.0,2.0,450000.0
23.0,317.0,2022.0,2.0,35000.0,0.0,0.0,2.0,745000.0
37.0,353.0,2022.0,2.0,50000.0,0.0,0.0,2.0,1299000.0
23.0,20.0,2013.0,11.0,60000.0,0.0,2.0,2.0,299000.0
4.0,11.0,2014.0,10.0,72000.0,0.0,2.0,0.0,1599000.0
26.0,95.0,2013.0,11.0,53000.0,0.0,2.0,2.0,1600000.0
36.0,129.0,2018.0,6.0,74000.0,1.0,2.0,0.0,850000.0
21.0,174.0,2023.0,1.0,29000.0,0.0,0.0,2.0,2295000.0
25.0,67.0,2016.0,8.0,20800.0,0.0,2.0,2.0,1700000.0
13.0,394.0,2017.0,7.0,95000.0,1.0,2.0,2.0,565000.0
22.0,329.0,2021.0,3.0,13000.0,0.0,0.0,0.0,1700000.0
22.0,383.0,2023.0,1.0,4000.0,1.0,0.0,2.0,2100000.0
23.0,52.0,2021.0,3.0,57000.0,0.0,2.0,2.0,685000.0
22.0,43.0,2022.0,2.0,25000.0,0.0,0.0,0.0,2725000.0
22.0,298.0,2017.0,7.0,92000.0,1.0,0.0,0.0,1050000.0
21.0,32.0,2021.0,3.0,12110.0,0.0,0.0,2.0,1295000.0
13.0,236.0,2022.0,2.0,13162.0,0.0,0.0,2.0,975000.0
36.0,129.0,2017.0,7.0,49000.0,1.0,0.0,2.0,599000.0
23.0,38.0,2016.0,8.0,68000.0,1.0,2.0,2.0,265000.0
3.0,26.0,2013.0,11.0,110000.0,0.0,2.0,0.0,1150000.0
13.0,119.0,2017.0,7.0,52355.0,1.0,0.0,2.0,499555.0
13.0,393.0,2013.0,11.0,40595.0,0.0,2.0,2.0,310000.0
22.0,329.0,2021.0,3.0,41000.0,1.0,2.0,0.0,1450000.0
23.0,241.0,2014.0,10.0,77500.0,0.0,2.0,2.0,1010000.0
23.0,319.0,2018.0,6.0,55000.0,1.0,0.0,2.0,595000.0
13.0,393.0,2013.0,11.0,80000.0,0.0,2.0,2.0,145000.0
4.0,11.0,2016.0,8.0,47000.0,0.0,2.0,0.0,2500000.0
25.0,150.0,2016.0,8.0,71000.0,0.0,2.0,2.0,1990000.0
13.0,296.0,2007.0,17.0,65000.0,1.0,2.0,2.0,185000.0
36.0,188.0,2019.0,5.0,69000.0,0.0,0.0,0.0,2699000.0
23.0,123.0,2019.0,5.0,90000.0,1.0,0.0,0.0,900000.0
9.0,209.0,2009.0,15.0,79742.0,1.0,2.0,2.0,165000.0
3.0,261.0,2017.0,7.0,45000.0,0.0,2.0,0.0,1690000.0
36.0,188.0,2022.0,2.0,8000.0,0.0,0.0,0.0,3375000.0
36.0,127.0,2012.0,12.0,51000.0,0.0,2.0,2.0,260000.0
4.0,8.0,2019.0,5.0,71000.0,0.0,0.0,0.0,2550000.0
25.0,65.0,2015.0,9.0,58000.0,0.0,0.0,0.0,2149999.0
36.0,140.0,2024.0,0.0,2596.0,1.0,0.0,0.0,3899999.0
22.0,329.0,2023.0,1.0,24500.0,0.0,0.0,2.0,1410000.0
12.0,84.0,2021.0,3.0,125000.0,1.0,0.0,0.0,1075000.0
23.0,83.0,2017.0,7.0,79000.0,0.0,2.0,2.0,600000.0
36.0,188.0,2019.0,5.0,118000.0,0.0,2.0,0.0,1999000.0
4.0,11.0,2017.0,7.0,75000.0,0.0,0.0,0.0,4000000.0
22.0,56.0,2017.0,7.0,105000.0,1.0,2.0,0.0,620000.0
23.0,397.0,2021.0,3.0,35000.0,1.0,0.0,2.0,851000.0
3.0,27.0,2017.0,7.0,51000.0,0.0,0.0,0.0,3500000.0
18.0,302.0,2022.0,2.0,30891.0,0.0,0.0,0.0,1875000.0
